Incident energy ; σ(E)
10.76836 ; 456.1672
10.7821 ; 521.9632
10.79585 ; 597.7556
10.80959 ; 683.6445
10.82333 ; 779.0889
10.83707 ; 882.3981
10.84844 ; 971.7302
10.85981 ; 1061.98
10.88254 ; 1232.613
10.89391 ; 1305.933
10.90527 ; 1366.397
10.91664 ; 1411.008
10.928 ; 1437.362
10.94013 ; 1443.966
10.95832 ; 1412.434
10.9765 ; 1336.951
10.9941 ; 1232.766
11.01169 ; 1110.855
11.02928 ; 983.3158
11.04687 ; 859.8232
11.06446 ; 746.7383
11.08205 ; 647.254
11.09964 ; 562.1211
11.11723 ; 490.5379
11.12959 ; 447.5048
11.14194 ; 409.7773
11.15429 ; 376.6868
11.16664 ; 347.6397
11.17899 ; 322.0979
11.19134 ; 299.5855
11.21604 ; 262.0477
11.24075 ; 232.3556
11.26545 ; 208.6056
11.29015 ; 189.4057
11.31485 ; 173.767
11.34779 ; 157.2369
11.38073 ; 144.5732
11.41367 ; 134.9673
11.4466 ; 127.8963
11.47954 ; 123.0487
11.51248 ; 120.3068
11.54542 ; 119.7428
11.56189 ; 120.3646
11.57835 ; 121.6751
11.59976 ; 124.5847
11.62117 ; 129.1835
11.63188 ; 132.2803
11.64258 ; 136.0288
11.65329 ; 140.5645
11.66399 ; 146.0479
11.6747 ; 152.7151
11.6854 ; 160.8571
11.69611 ; 170.9011
11.70681 ; 183.3853
11.71752 ; 199.0821
11.72822 ; 218.948
11.73358 ; 230.8559
11.73893 ; 244.2849
11.74428 ; 259.4591
11.74963 ; 276.5979
11.75705 ; 304.0565
11.76446 ; 336.3413
11.77187 ; 374.1274
11.77928 ; 418.0071
11.78669 ; 468.4633
11.7941 ; 525.7975
11.80151 ; 590.0502
11.80892 ; 660.9204
11.81428 ; 715.9225
11.81963 ; 773.4921
11.83033 ; 894.2907
11.84104 ; 1017.545
11.85174 ; 1135.231
11.86052 ; 1221.501
11.86929 ; 1293.081
11.87806 ; 1345.586
11.88683 ; 1375.455
11.89428 ; 1381.338
11.898 ; 1377.367
11.90918 ; 1338.18
11.91729 ; 1285.853
11.9254 ; 1216.267
11.93351 ; 1132.843
11.94162 ; 1039.504
11.95313 ; 897.9836
11.96464 ; 755.6797
11.97615 ; 621.5901
11.98191 ; 559.6327
11.98766 ; 501.9307
11.99399 ; 443.5764
12.00032 ; 390.8278
12.00665 ; 343.6826
12.01298 ; 301.9741
12.01931 ; 265.4102
